PX2,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrPedVol,8HrVehVol,24HrPedVol,24HrVehVol
2,JARVIS ST,,FRONT ST E,,11/15/1948,43.64945,-79.37141,9/8/2011,"17,008","19,335","34,016","38,670"
3,KING ST E,,JARVIS ST,,8/23/1950,43.6504606,-79.3719239,9/7/2011,"37,719","17,665","75,438","35,330"
4,JARVIS ST,,ADELAIDE ST E,,9/12/1958,43.6515337,-79.37236,6/16/2008,"1,991","19,726","3,982","39,452"
5,JARVIS ST,,RICHMOND ST E,,4/21/1962,43.6527176,-79.372824,7/30/2009,"2,696","24,842","5,392","49,684"
6,JARVIS ST,,QUEEN ST E,,8/24/1928,43.653704,-79.373238,5/18/2011,"3,622","19,772","7,244","39,544"
7,JARVIS ST,,SHUTER ST,,11/18/1948,43.655357,-79.373862,5/24/2011,"1,979","17,492","3,958","34,984"
8,JARVIS ST,,DUNDAS ST E,,6/21/1928,43.657052,-79.374531,5/18/2011,"5,651","20,116","11,302","40,232"
9,JARVIS ST,,GERRARD ST E,,7/14/1941,43.660432,-79.3758537,5/18/2011,"4,284","19,891","8,568","39,782"
10,JARVIS ST,,CARLTON ST,,6/28/1928,43.66242,-79.3767079,5/24/2011,"4,189","21,040","8,378","42,080"
11,JARVIS ST,,WELLESLEY ST E,,9/28/1948,43.6662894,-79.378325,5/24/2011,"5,001","21,072","10,002","42,144"
12,JARVIS ST,,ISABELLA ST,,9/13/1960,43.668869,-79.3794158,5/18/2011,"1,679","15,958","3,358","31,916"
13,MOUNT PLEASANT RD,,CHARLES ST E,JARVIS ST,5/23/1950,43.6699892,-79.3799226,5/24/2011,"2,094","20,343","4,188","40,686"
14,BLOOR ST E,,TED ROGERS WAY,,3/28/1951,43.6715773,-79.38052,12/8/2009,"4,426","15,399","8,852","30,798"
15,CHURCH ST,,FRONT ST E,WELLINGTON ST E,4/24/1950,43.64851318,-79.37383354,4/23/2009,"8,053","16,666","16,106","33,332"
16,KING ST E,,CHURCH ST,,1/10/1928,43.6499164,-79.374409,4/23/2009,"11,277","13,419","22,554","26,838"
17,CHURCH ST,,ADELAIDE ST E,,11/22/1948,43.651173,-79.374925,7/27/2011,"5,765","12,868","11,530","25,736"
18,CHURCH ST,,RICHMOND ST E,,11/22/1948,43.652441,-79.375448,11/19/2007,"4,569","18,354","9,138","36,708"
19,QUEEN ST E,,CHURCH ST,,8/24/1983,43.65317,-79.375754,8/16/2011,"13,157","12,609","26,314","25,218"
20,CHURCH ST,,SHUTER ST,,11/18/1948,43.654817,-79.376441,11/16/2009,"7,480","6,523","14,960","13,046"
21,DUNDAS ST E,,CHURCH ST,,12/17/1952,43.656499,-79.377127,11/17/2009,"8,268","11,280","16,536","22,560"
22,CHURCH ST,,GERRARD ST E,,7/18/1941,43.659858,-79.378522,3/4/2008,"5,880","18,093","11,760","36,186"
23,CHURCH ST,,CARLTON ST,,2/17/1932,43.661871,-79.379335,8/10/2011,"13,739","16,193","27,478","32,386"
24,CHURCH ST,,WELLESLEY ST E,,7/18/1941,43.6657034,-79.380928,8/16/2011,"20,851","18,222","41,702","36,444"
25,BLOOR ST E,,CHURCH ST,,2/19/1932,43.6710224,-79.383123,8/6/2009,"22,634","20,404","45,268","40,808"
26,ADELAIDE ST E,,VICTORIA ST,,9/27/1928,43.6506539,-79.377248,7/19/2011,"10,555","9,447","21,110","18,894"
27,VICTORIA ST,,RICHMOND ST E,,11/3/1927,43.6519522,-79.377756,11/19/2007,"5,620","12,683","11,240","25,366"
28,QUEEN ST E,,VICTORIA ST,,11/3/1927,43.6526703,-79.378066,7/23/2009,"11,810","10,480","23,620","20,960"
29,YONGE ST,,FRONT ST E,FRONT ST W,8/24/1928,43.646846,-79.376931,4/22/2009,"12,542","15,239","25,084","30,478"
30,YONGE ST,,WELLINGTON ST E,WELLINGTON ST W,1/6/1964,43.6478484,-79.377351,4/20/2009,"2,916","17,911","5,832","35,822"
31,YONGE ST,,KING ST E,KING ST W,11/3/1927,43.6491624,-79.377904,8/8/2007,"25,743","16,803","51,486","33,606"
32,YONGE ST,,ADELAIDE ST E,ADELAIDE ST W,1/10/1928,43.650419,-79.378436,8/8/2007,"23,297","17,231","46,594","34,462"
33,YONGE ST,,RICHMOND ST E,RICHMOND ST W,11/3/1927,43.651697,-79.378965,8/1/2007,"12,121","16,855","24,242","33,710"
34,YONGE ST,,QUEEN ST E,QUEEN ST W,11/3/1927,43.6524209,-79.379276,8/20/2007,"28,209","15,003","56,418","30,006"
35,YONGE ST,,SHUTER ST,,3/12/1959,43.654066,-79.379957,3/30/2009,"9,690","9,090","19,380","18,180"
36,YONGE ST,,DUNDAS ST E,DUNDAS ST W,4/4/1927,43.656326,-79.380912,1/28/2008,"48,337","16,515","96,674","33,030"
37,YONGE ST,,GERRARD ST E,GERRARD ST W,7/9/1929,43.6590897,-79.382096,8/19/2009,"22,771","18,749","45,542","37,498"
38,YONGE ST,,CARLTON ST,COLLEGE ST,2/18/1932,43.6613687,-79.383094,11/2/2009,"29,115","18,710","58,230","37,420"
39,YONGE ST,,WELLESLEY ST E,WELLESLEY ST W,9/30/1948,43.6649351,-79.384558,8/1/2007,"20,133","17,442","40,266","34,884"
40,BLOOR ST,,YONGE ST,,8/28/1925,43.670229,-79.386767,8/12/2009,"25,696","15,800","51,392","31,600"
