PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,latitude,longitude,Count Date,8HrVehVol,8HrPedVol
13,MOUNT PLEASANT RD,,CHARLES ST E,JARVIS ST,23-May-1950,43.6699892,-79.3799226,10/8/2013,15228,2269
23,CHURCH ST,,CARLTON ST,,17-Feb-1932,43.661871,-79.379335,6/26/2013,19901,9052
55,YONGE ST,,LAWRENCE AVE,,03-Jan-1941,43.7251031,-79.402193,10/3/2013,29417,4196
81,UNIVERSITY AVE,,DUNDAS ST W,,28-Jun-1928,43.654812,-79.388484,8/14/2013,28831,18932
86,AVENUE RD,,BLOOR ST W,,21-Jul-1928,43.668685,-79.394119,5/27/2013,26039,14160
101,EGLINTON AVE W,,GLEN CEDAR RD,OLD PARK RD,10-Jul-1968,43.6998248,-79.430961,7/9/2013,15770,783
112,ST CLAIR AVE W,,AVENUE RD,,26-Aug-1929,43.686624,-79.401479,12/5/2013,29720,3255
117,AVENUE RD,,ST CLEMENTS AVE,,20-Jun-1946,43.710333,-79.411119,1/15/2013,18012,970
119,AVENUE RD,,LAWRENCE AVE W,,31-Jan-1958,43.7222401,-79.415589,9/4/2013,27712,2674
123,AVENUE RD,,WILSON AVE,,31-Jan-1958,43.7398627,-79.421636,9/4/2013,33867,1383
125,YONGE ST,,SHEPPARD AVE,,31-Jan-1958,43.7615144,-79.410903,6/25/2013,39309,7289
131,YONGE ST,,STEELES AVE,,31-Jan-1958,43.798049,-79.420064,10/8/2013,42005,6483
132,MOUNT PLEASANT RD,,ELM AVE,,06-Feb-1950,43.6745775,-79.380161,11/19/2013,15065,805
137,MOUNT PLEASANT RD,,DAVISVILLE AVE,,28-Sep-1948,43.7003222,-79.386937,2/28/2013,23028,2205
138,MOUNT PLEASANT RD,,MANOR RD E,,17-Feb-1957,43.7043099,-79.388524,3/4/2013,16260,1698
142,MOUNT PLEASANT RD,,LAWRENCE AVE E,,23-Feb-1953,43.72623704,-79.39679056,6/7/2013,22337,200
144,KINGSTON RD,,LAWRENCE AVE E,,21-Jan-1960,43.7676558,-79.189555,6/10/2013,30265,1475
158,KINGSTON RD,,VICTORIA PARK AVE,,15-Dec-1948,43.6808074,-79.284041,10/3/2013,9687,1980
162,KINGSTON RD,,WOODBINE AVE,,09-Jun-1929,43.67394,-79.307902,5/27/2013,19750,940
163,KINGSTON RD,,DUNDAS ST E,DIXON AVE,03-Mar-1953,43.669951,-79.311169,7/16/2013,8826,493
168,QUEEN ST E,,COXWELL AVE,,15-Oct-1948,43.666345,-79.316558,5/27/2013,10471,2956
206,LAKE SHORE BLVD E,,LESLIE ST,,14-Dec-1955,43.659109,-79.328373,5/27/2013,27371,764
208,LAKE SHORE BLVD E,,DON ROADWAY,DON VALLEY PARKWAY N,22-Nov-1963,43.6510701,-79.346973,5/27/2013,10974,41
216,LAKE SHORE BLVD W,,FLEET ST,BATHURST ST,13-Apr-1942,43.636444,-79.399607,5/27/2013,26327,2277
224,LAKE SHORE BLVD W,,JAMESON AVE,,10-Jan-1947,43.6333865,-79.434586,8/8/2013,22282,348
226,LAKE SHORE BLVD W,,PARKSIDE DR,,01-Mar-1949,43.638362,-79.45353,8/13/2013,30083,301
237,LAKE SHORE BLVD W,,KIPLING AVE,COLONEL SAMUEL SMITH PARK DR,01-Jan-1957,43.5981581,-79.516936,12/5/2013,19371,6478
242,LAKE SHORE BLVD W,,BROWNS LINE,,23-Feb-1960,43.59235474,-79.54258472,10/22/2013,12239,415
245,KING ST E,,PARLIAMENT ST,,17-Nov-1948,43.6527207,-79.363216,8/13/2013,10781,2650
251,PARLIAMENT ST,,WELLESLEY ST E,,09-Jun-1950,43.668161,-79.369537,8/10/2013,12878,4674
266,DUNDAS ST W,,BEVERLEY ST,,30-Sep-1948,43.6538104,-79.393832,3/28/2013,11610,4911
268,RICHMOND ST W,,PETER ST,,14-Dec-1965,43.6484258,-79.393259,8/13/2013,8520,6403
277,SPADINA AVE,,DUNDAS ST W,,09-Sep-1929,43.6529371,-79.398015,5/15/2013,15072,24677
279,SPADINA AVE,,COLLEGE ST,,28-Jun-1928,43.6579399,-79.400059,8/13/2013,16020,14869
281,BLOOR ST W,,SPADINA AVE,SPADINA RD,23-Jul-1928,43.6666551,-79.403803,8/15/2013,16608,12975
282,BAYVIEW AVE,,ROSEDALE VALLEY RD,,27-Sep-1961,43.6702347,-79.360193,10/7/2013,17633,3
286,DUNDAS ST E,,LESLIE ST,,02-Jan-1956,43.6667337,-79.331711,4/22/2013,7585,992
295,BLOOR ST E,,CASTLE FRANK RD,PRIVATE ACCESS,12-Dec-1952,43.6738355,-79.36812,8/8/2013,26607,1144
301,EASTERN AVE,,COXWELL AVE,,14-Dec-1955,43.6655045,-79.316201,5/27/2013,12466,604
302,EASTERN AVE,,LESLIE ST,,29-Jun-1950,43.6615598,-79.329482,4/22/2013,13264,401
321,BLOOR ST W,,BATHURST ST,,07-Apr-1928,43.665132,-79.411205,8/15/2013,18511,13482
327,DUNDAS ST W,,BLOOR ST W,,07-Mar-1928,43.6563079,-79.452406,8/8/2013,23727,5399
334,BLOOR ST W,,SOUTH KINGSWAY,,01-Jan-1967,43.648304,-79.485695,7/10/2013,19410,1034
351,DANFORTH AVE,,WOODBINE AVE,,07-Oct-1928,43.6856712,-79.312749,10/16/2013,24389,5306
355,DANFORTH AVE,,VICTORIA PARK AVE,,31-Jan-1958,43.6912366,-79.288311,9/9/2013,20673,4099
357,DANFORTH AVE,,DANFORTH RD,,03-Jan-1965,43.6936851,-79.277105,4/4/2013,13252,183
361,GERRARD ST E,,VICTORIA PARK AVE,,04-Jan-1953,43.6869115,-79.28656,8/28/2013,18821,1343
380,LAWRENCE AVE E,,MCCOWAN RD,,11-Feb-1960,43.7555379,-79.245446,5/16/2013,29763,2378
401,LAWRENCE AVE E,,THE DONWAY W,,15-Nov-1958,43.7364907,-79.346527,2/28/2013,21144,1538
412,LAWRENCE AVE E,,KENNEDY RD,,31-Jan-1958,43.74954,-79.27493,9/30/2013,33852,2846
420,LAWRENCE AVE E,,MARKHAM RD,,04-Oct-1959,43.75981,-79.22531,10/22/2013,36125,6665
422,LAWRENCE AVE W,,LEDBURY ST,,28-Dec-1964,43.72086,-79.42246,6/6/2013,16089,493
423,BATHURST ST,,LAWRENCE AVE W,,09-Jun-1956,43.71929,-79.42976,5/31/2013,32435,3187
424,LAWRENCE AVE W,,VARNA DR,,30-Oct-1978,43.71748,-79.4377,6/10/2013,15584,175
425,LAWRENCE AVE W,,MARLEE AVE,PRIVATE ACCESS,21-Dec-1961,43.7156,-79.4465,6/18/2013,26015,2862
427,LAWRENCE AVE W,,CALEDONIA RD,,08-Sep-1957,43.71148,-79.46658,6/24/2013,26171,930
431,WESTON RD,,LAWRENCE AVE W,,31-Jan-1958,43.70014,-79.51624,4/30/2013,18866,5067
438,EGLINTON AVE W,,ROSTREVOR RD,,19-Apr-1977,43.7003,-79.42881,5/21/2013,13794,1025
439,BROADVIEW AVE,,CHESTER HILL RD,,28-Aug-1950,43.68128,-79.35767,2/5/2013,9311,833
440,BROADVIEW AVE,,MORTIMER AVE,POTTERY RD,31-Jan-1958,43.68391,-79.35694,1/31/2013,14031,1333
441,BROADVIEW AVE,,COSBURN AVE,,31-Jan-1958,43.68854,-79.35524,1/30/2013,10153,544
444,O CONNOR DR,,DON MILLS RD,,12-Dec-1958,43.69557,-79.33963,5/15/2013,26959,99
446,O CONNOR DR,,WOODBINE AVE,,31-Jan-1958,43.70015,-79.31905,10/9/2013,27099,648
447,O CONNOR DR,,ST CLAIR AVE E,,31-Jan-1958,43.70539,-79.31285,6/5/2013,24194,917
451,EGLINTON AVE E,,VICTORIA PARK AVE,,31-Jan-1958,43.72474,-79.30264,3/11/2013,33095,2166
454,DON MILLS RD,,EGLINTON AVE E,,29-Jan-1957,43.7205,-79.33888,5/15/2013,45185,2597
460,EGLINTON AVE E,,KENNEDY RD,,24-Nov-1955,43.73224,-79.26797,6/10/2013,29069,1957
471,ST CLAIR AVE E,,VICTORIA PARK AVE,,15-Nov-1958,43.7087726,-79.2959584,10/17/2013,25436,1820
473,WARDEN AVE,,ST CLAIR AVE E,,31-Jan-1958,43.71204,-79.28099,6/3/2013,27855,1648
480,ST CLAIR AVE W,,BATHURST ST,,27-Aug-1928,43.68314,-79.41828,12/5/2013,22420,7862
488,DUFFERIN ST,,ST CLAIR AVE W,,30-Aug-1929,43.67795,-79.44306,8/8/2013,17473,7040
493,ST CLAIR AVE W,,KEELE ST,WESTON RD,21-Dec-1939,43.67254,-79.46762,8/8/2013,22315,2712
496,DUNDAS ST W,,SCARLETT RD,,31-Jan-1958,43.66552,-79.49919,8/7/2013,17019,106
498,ST CLAIR AVE E,,AVOCA AVE,,25-Sep-1968,43.68896,-79.389878,5/15/2013,12494,975
500,LAWRENCE AVE W,,HICKORY TREE RD,LITTLE AVE,16-Jan-1967,43.69929,-79.51986,6/11/2013,13616,389
507,YONGE ST,,ROSEHILL AVE,,23-Feb-1967,43.68623,-79.39331,5/15/2013,14736,5086
509,BLOOR ST W,,BRUNSWICK AVE,,14-Nov-1967,43.66591,-79.40743,8/15/2013,8679,5923
511,DUNDAS ST W,,PAULART DR,PRIVATE ACCESS,25-Jul-1975,43.63107,-79.5469,2/19/2013,22100,243
512,VICTORIA PARK AVE,,CASSANDRA BLVD,,13-Jul-1967,43.75434,-79.314,8/26/2013,19811,484
513,VICTORIA PARK AVE,,BASSETT AVE,YARDLEY AVE,29-Jun-1965,43.7138,-79.29804,10/15/2013,10590,302
514,VICTORIA PARK AVE,,ELVASTON DR,,06-Oct-1964,43.73041,-79.30498,9/25/2013,13624,493
515,VICTORIA PARK AVE,,SURREY AVE,,06-Apr-1964,43.7363,-79.30739,8/28/2013,23282,238
516,VICTORIA PARK AVE,,CURLEW DR,LYNVALLEY CRES,31-Aug-1962,43.74798,-79.3118,1/29/2013,19147,502
517,VICTORIA PARK AVE,,ELLESMERE RD,PARKWOODS VILLAGE DR,25-Apr-1960,43.75788,-79.31522,9/3/2013,33693,3766
518,VICTORIA PARK AVE,,YORK MILLS RD,,13-May-1963,43.76303,-79.31751,8/21/2013,26765,537
525,JANE ST,,ALLIANCE AVE,PRIVATE ACCESS,10-Nov-1961,43.67623,-79.49565,12/3/2013,14356,568
